(0, 2)
(1, 2)
(2, 2)
(3, 2)
(4, 2)
(5, 4)
(6, 4)
(7, 6)
(8, 8)
(9, 8)
(10, 8)
(11, 8)
(12, 8)
(13, 8)
(14, 10)
(15, 10)
(16, 10)
(17, 12)
(18, 12)
(19, 14)
(20, 14)
(21, 16)
(22, 16)
(23, 16)
(24, 18)
(25, 18)
(26, 18)
(27, 18)
(28, 20)
(29, 22)
(30, 22)
(31, 22)
(32, 22)
(33, 22)
(34, 22)
(35, 24)
(36, 24)
(37, 24)
(38, 26)
(39, 26)
(40, 28)
(41, 28)
(42, 28)
(43, 28)
(44, 30)
(45, 30)
(46, 30)
(47, 32)
(48, 32)
(49, 32)
(50, 32)
(51, 32)
(52, 34)
(53, 34)
(54, 34)
(55, 34)
(56, 34)
(57, 34)
(58, 36)
(59, 36)
(60, 36)
(61, 36)
(62, 36)
(63, 38)
(64, 38)
(65, 38)
(66, 38)
(67, 38)
(68, 38)
(69, 38)
(70, 40)
(71, 40)
(72, 40)
(73, 42)
(74, 42)
(75, 42)
(76, 44)
(77, 44)
(78, 44)
(79, 44)
(80, 44)
(81, 46)
(82, 48)
(83, 48)
(84, 48)
(85, 48)
(86, 48)
(87, 48)
(88, 48)
(89, 52)
(90, 52)
(91, 52)
(92, 52)
(93, 54)
(94, 54)
(95, 56)
(96, 56)
(97, 56)
(98, 56)
(99, 58)
(100, 60)
(101, 60)
(102, 56)
(103, 58)
(104, 58)
(105, 56)
(106, 56)
(107, 58)
(108, 58)
(109, 58)
(110, 58)
(111, 58)
(112, 58)
(113, 60)
(114, 58)
(115, 58)
(116, 58)
(117, 60)
(118, 60)
(119, 60)
(120, 58)
(121, 56)
(122, 54)
(123, 54)
(124, 54)
(125, 54)
(126, 56)
(127, 56)
(128, 54)
(129, 54)
(130, 54)
(131, 54)
(132, 54)
(133, 52)
(134, 52)
(135, 52)
(136, 54)
(137, 54)
(138, 56)
(139, 56)
(140, 56)
(141, 56)
(142, 56)
(143, 56)
(144, 56)
(145, 56)
(146, 56)
(147, 56)
(148, 58)
(149, 58)
(150, 58)
(151, 58)
(152, 58)
(153, 58)
(154, 58)
(155, 60)
(156, 60)
(157, 60)
(158, 58)
(159, 58)
(160, 58)
(161, 56)
(162, 56)
(163, 58)
(164, 54)
(165, 54)
(166, 54)
(167, 54)
(168, 54)
(169, 52)
(170, 52)
(171, 50)
(172, 50)
(173, 50)
(174, 52)
(175, 50)
(176, 52)
(177, 54)
(178, 54)
(179, 54)
(180, 54)
(181, 54)
(182, 54)
(183, 48)
(184, 46)
(185, 46)
(186, 48)
(187, 48)
(188, 48)
(189, 48)
(190, 48)
(191, 48)
(192, 50)
(193, 48)
(194, 48)
(195, 48)
(196, 48)
(197, 48)
(198, 48)
(199, 48)
(200, 46)
(201, 48)
(202, 50)
(203, 50)
(204, 50)
(205, 50)
(206, 50)
(207, 50)
(208, 50)
(209, 52)
(210, 52)
(211, 50)
(212, 52)
(213, 52)
(214, 52)
(215, 52)
(216, 52)
(217, 54)
(218, 54)
(219, 52)
(220, 52)
(221, 52)
(222, 52)
(223, 54)
(224, 52)
(225, 50)
(226, 50)
(227, 52)
(228, 48)
(229, 48)
(230, 50)
(231, 48)
(232, 48)
(233, 50)
(234, 50)
(235, 50)
(236, 50)
(237, 52)
(238, 52)
(239, 52)
(240, 52)
(241, 52)
(242, 54)
(243, 54)
(244, 54)
(245, 54)
(246, 52)
(247, 52)
(248, 54)
(249, 52)
(250, 52)
(251, 52)
(252, 52)
(253, 52)
(254, 54)
(255, 52)
(256, 50)
(257, 50)
(258, 50)
(259, 54)
(260, 54)
(261, 54)
(262, 54)
(263, 54)
(264, 54)
(265, 54)
(266, 54)
(267, 54)
(268, 54)
(269, 54)
(270, 56)
(271, 58)
(272, 56)
(273, 56)
(274, 58)
(275, 56)
(276, 56)
(277, 56)
(278, 58)
(279, 58)
(280, 58)
(281, 60)
(282, 60)
(283, 58)
(284, 60)
(285, 60)
(286, 60)
(287, 60)
(288, 60)
(289, 60)
(290, 58)
(291, 58)
(292, 58)
(293, 60)
(294, 60)
(295, 58)
(296, 58)
(297, 60)
(298, 60)
(299, 60)
(300, 60)
(301, 60)
(302, 60)
(303, 60)
(304, 60)
(305, 60)
(306, 58)
(307, 58)
(308, 60)
(309, 60)
(310, 58)
(311, 56)
(312, 56)
